Gene	Expression
A1CF_S	0.892925
A2LD1_S	1.48166
A4GALT_S	0.865358
ABCA10_S	1.01026
ABCA12_S	0.858977
ABCA13_S	0.754093
ABCA7_S	0.682688
ABCB1_S	0
ABCB9_S	0
ABCC11_S	0
ABCC2_S	0
ABCC8_S	1.02731
ABCD1_S	0
ABCG1_S	0
ABCG2_S	0.887971
ABLIM2_S	1.12726
ABLIM3_S	0
ABP1_S	0
ABTB2_S	1.20984
ACADL_S	0
ACAN_S	1.07485
ACAP1_S	0
ACCS_S	0
ACE2_S	0
ACHE_S	0
ACMSD_S	0
ACOT11_S	1.52655
ACOT2_S	0
ACOT4_S	0
ACOX2_S	0
ACOXL_S	0
ACP5_S	0
ACPP_S	0
ACRC_S	0
ACR_S	0
ACSBG1_S	0
ACSL1_S	1.25387
ACSL6_S	0
ACSM2A_S	0
ACSM2B_S	0
ACTL10_S	0
ACTN3_S	1.0774
ACVR1C_S	0
ACVRL1_S	0
ACY3_S	0
ACYP2_S	0
ADAM12_S	1.18382
ADAM20_S	0
ADAM21_S	0
ADAM28_S	0
ADAM33_S	0
ADAM8_S	0
ADAMTS10_S	0.94029
ADAMTS13_S	0
ADAMTS14_S	0
ADAMTS17_S	0
ADAMTS18_S	0
ADAMTS5_S	1.21451
ADAMTS8_S	0
ADAMTSL2_S	0.686191
ADAP1_S	1.23725
ADAP2_S	0
ADARB2_S	0.874496
ADAT3_S	0
ADCY10_S	0
ADCY5_S	0.718798
ADCY8_S	1.30746
ADCYAP1_S	0
ADH4_S	0
ADH6_S	0
ADHFE1_S	0
ADIPOQ_S	0
ADM2_S	0.785561
ADORA2A_S	0
ADPRH_S	0.71295
ADRA1A_S	0.729153
ADRA1B_S	0
ADRA2A_S	0
ADRA2B_S	0.858977
ADRA2C_S	1.48672
AFAP1L1_S	0
AFP_S	0
AGAP11_S	0
AGAP2_S	1.17973
AGAP4_S	0
AGAP5_S	0
AGAP7_S	0
AGAP8_S	1.20429
AGBL2_S	1.06722
AGBL3_S	0
AGER_S	0
AGFG2_S	0.895562
AGMAT_S	0.958828
AGMO_S	0
AGPAT9_S	0
AGXT2L1_S	0
AGXT_S	0
AHNAK2_S	0.962046
AHRR_S	0
AHR_S	0.831327
AICDA_S	1.33419
AIF1_S	0
AIFM2_S	0.738251
AIFM3_S	0
AIM1L_S	1.03464
AIM1_S	0
AIM2_S	0
AIPL1_S	0
AIRE_S	0
AK8_S	0
AKR1B10_S	0.74369
AKR1B15_S	0
AKR1C2_S	0
AKR1C3_S	0
AKR1D1_S	0
AKR1E2_S	0
AKR7A3_S	0
ALDH1A2_S	0
ALDH1L1_S	1.16569
ALDH1L2_S	0.707588
ALDH8A1_S	1.18703
ALG1L2_S	0
ALKBH2_S	0
ALK_S	1.22056
ALOX12B_S	0
ALOX12_S	0
ALOX15_S	0
ALOX5AP_S	0
ALOX5_S	0
ALPK1_S	1.13293
ALPK2_S	0
ALS2CL_S	0
ALX3_S	0
ALX4_S	1.01391
AMBP_S	0
AMDHD1_S	0
AMH_S	0
AMIGO3_S	0
AMN_S	0
AMY2B_S	0.958828
ANGPT1_S	0
ANGPT2_S	0
ANGPT4_S	0
ANGPTL4_S	1.03464
ANKAR_S	0
ANKFN1_S	0
ANKHD1-EIF4EBP3_S	0
ANKLE1_S	0
ANKMY1_S	1.14966
ANKRD16_S	0
ANKRD20A1_S	0.827647
ANKRD20A2_S	0
ANKRD20A3_S	0
ANKRD20A4_S	0
ANKRD22_S	0
ANKRD24_S	0
ANKRD29_S	0
ANKRD2_S	0
ANKRD31_S	1.34224
ANKRD34B_S	0
ANKRD39_S	0
ANKRD44_S	0
ANKRD53_S	0
ANKS4B_S	0
ANO1_S	1.16123
ANO2_S	0
ANO7_S	1.09131
ANO9_S	0
ANP32D_S	0
ANPEP_S	0
ANXA8L1_S	0
ANXA9_S	0
AOAH_S	0
AOC2_S	0
AOC3_S	0
AP1M2_S	0
AP3B2_S	0.878211
APBA1_S	1.04044
APC2_S	0.774738
APLN_S	0
APOA1_S	0
APOA2_S	0
APOBEC3A_S	0
APOBR_S	0
APOB_S	0.795252
APOC3_S	0
APOC4_S	0
APOF_S	0
APOL4_S	0
APOL6_S	1.01026
APOM_S	0
AQP11_S	0
AQP1_S	0
AQP3_S	0.890367
AQP4_S	1.0881
AQP5_S	1.02731
AQP6_S	0
AQP7_S	0
ARAP2_S	0
ARC_S	0
ARHGAP10_S	0
ARHGAP15_S	0
ARHGAP20_S	0
ARHGAP22_S	0
ARHGAP25_S	0.770594
ARHGAP27_S	0
ARHGAP31_S	0.831327
ARHGAP8_S	0
ARHGDIB_S	0
ARHGDIG_S	0
ARHGEF15_S	0
ARHGEF33_S	0
ARHGEF35_S	0
ARHGEF37_S	0.992314
ARHGEF38_S	0
ARHGEF5_S	0
ARID5A_S	0
ARL11_S	1.02731
ARMC12_S	0
ARPC4-TTLL3_S	0
ARPM1_S	0
ARSF_S	0
ARTN_S	0
ASAH2_S	1.34559
ASB11_S	1.38105
ASB12_S	0
ASB16_S	0
ASB2_S	0
ASB4_S	0
ASB9_S	0
ASIC3_S	0
ASMT_S	0
ASPA_S	0
ASPG_S	0
ASPHD1_S	0
ASPRV1_S	0
ATG16L2_S	0.966033
ATG9B_S	0
ATP12A_S	0
ATP13A4_S	0
ATP1B4_S	0.958828
ATP2A1_S	0
ATP2A3_S	1.05432
ATP2C2_S	0
ATP5L2_S	0
ATP6AP1L_S	0
ATP6V0A4_S	0
ATP6V0D2_S	0
ATP6V1C2_S	0
ATP6V1E2_S	1.50847
ATP8A2_S	0
ATP8B1_S	0.871579
ATP8B3_S	0.920879
ATP8B4_S	0
AURKC_S	0
AVPI1_S	0
B3GALT2_S	0
B3GALT4_S	0
B3GALT5_S	1.05819
B3GAT2_S	0
B3GNT4_S	0
B3GNT6_S	0
B3GNT7_S	0
B3GNT8_S	0
B3GNT9_S	0.725049
B4GALNT1_S	0.930014
B7H6_S	1.13941
BAGE_S	0
BAI3_S	1.24308
BAIAP2L2_S	0
BAIAP3_S	1.12726
BARHL2_S	0
BARX1_S	0.767435
BARX2_S	0
BATF2_S	0
BCAR3_S	1.36522
BCAS1_S	0
BCL11B_S	1.03464
BCL2L15_S	0.845771
BCL3_S	0
BCL6B_S	0.890367
BDKRB2_S	0
BDNF_S	0
BEAN1_S	0
BEGAIN_S	0.90523
BEND2_S	0
BEND6_S	1.40766
BEST3_S	0
BEST4_S	0
BFSP2_S	0
BHLHA15_S	0
BHMT_S	0
BIK_S	0
BIRC3_S	0
BLOC1S3_S	0
BLVRB_S	0
BMP3_S	0.883674
BMP5_S	0.937385
BMP6_S	0
BMP8A_S	0.68039
BMP8B_S	0
BNC1_S	1.2001
BRDT_S	0
BRS3_S	0
BSN_S	0.909037
BSPRY_S	0
BST1_S	0
BTBD17_S	0
BTBD19_S	0
BTBD8_S	0
BTC_S	0.966033
BTN3A3_S	0
BTNL9_S	0.698813
C10orf105_S	0
C10orf10_S	0
C10orf111_S	0
C10orf11_S	0
C10orf25_S	0
C10orf35_S	1.2859
C10orf54_S	0.932749
C10orf67_S	0
C10orf82_S	0
C11orf20_S	0
C11orf35_S	0.946953
C11orf45_S	0.972878
C11orf52_S	0
C11orf65_S	0
C11orf67_S	0.998301
C11orf71_S	0
C11orf86_S	0
C11orf91_S	0
C11orf93_S	0
C11orf96_S	0
C12orf39_S	0
C12orf77_S	0
C13orf33_S	0
C14orf149_S	0
C14orf176_S	0
C14orf178_S	0.937385
C14orf182_S	0
C14orf39_S	0
C14orf45_S	0
C15orf27_S	1.51793
C15orf2_S	0.704708
C15orf52_S	0.729153
C15orf56_S	0
C15orf58_S	0
C16orf54_S	0
C16orf71_S	0
C16orf73_S	0
C16orf74_S	0
C16orf79_S	0
C16orf7_S	0.804696
C16orf86_S	0
C16orf89_S	0
C16orf92_S	0
C16orf93_S	0
C16orf95_S	0
C16orf96_S	1.05432
C17orf107_S	0
C17orf109_S	0
C17orf28_S	0
C17orf50_S	0
C17orf56_S	1.02345
C17orf57_S	0
C17orf72_S	0
C17orf77_S	0
C17orf89_S	0
C17orf97_S	0
C17orf98_S	0
C18orf1_S	0
C18orf26_S	0
C18orf34_S	0.962046
C19orf26_S	0
C19orf35_S	0
C19orf45_S	0
C19orf46_S	0
C19orf52_S	0
C19orf57_S	0
C19orf70_S	0
C19orf73_S	0
C19orf75_S	0
C19orf76_S	0
C19orf77_S	0
C1QL1_S	0
C1QL3_S	0
C1QTNF1_S	0
C1QTNF2_S	0
C1QTNF4_S	0
C1QTNF9B-AS1_S	0
C1S_S	0
