Gene	Expression
A1CF_N	0.338094
A2LD1_N	1.17452
A4GALT_N	0.838805
AATK_N	1.20717
ABCA10_N	1.03278
ABCA12_N	0.501865
ABCA13_N	0.468155
ABCA7_N	0.516069
ABCA9_N	1.43075
ABCB1_N	0.486898
ABCB4_N	0.997978
ABCB9_N	0.329198
ABCC11_N	0
ABCC2_N	0.789442
ABCC6_N	0.782974
ABCC8_N	0.654397
ABCD1_N	0
ABCG1_N	0
ABCG2_N	0
ABLIM2_N	1.07038
ABLIM3_N	0.388597
ABP1_N	0
ABTB1_N	0
ACADL_N	0
ACAN_N	0.59119
ACAP1_N	0
ACCS_N	1.12847
ACE2_N	0
ACHE_N	0
ACMSD_N	0
ACOT11_N	0.588632
ACOT4_N	0
ACOXL_N	0
ACP5_N	0
ACPP_N	0.377424
ACRC_N	0
ACR_N	0
ACSBG1_N	0
ACSL1_N	0.808098
ACSL6_N	0.492615
ACSM2A_N	0.81957
ACSM2B_N	0
ACTG2_N	1.63502
ACTL10_N	0
ACTN3_N	0
ACVR1C_N	0
ACVRL1_N	0.786907
ACY3_N	0
ACYP2_N	0.423484
ADAM12_N	1.44396
ADAM20_N	0
ADAM21_N	0
ADAM28_N	0
ADAM33_N	0
ADAM8_N	0
ADAMTS10_N	0.602825
ADAMTS13_N	1.0184
ADAMTS14_N	0
ADAMTS17_N	0.89516
ADAMTS18_N	0
ADAMTS4_N	0.988611
ADAMTS5_N	0.594707
ADAMTS6_N	0.910329
ADAMTS8_N	0
ADAMTSL1_N	0
ADAMTSL2_N	0
ADAP1_N	0.900069
ADAP2_N	0
ADARB2_N	0
ADAT3_N	0.486898
ADCK5_N	0.938052
ADCY10_N	0
ADCY5_N	0
ADCY8_N	0
ADCYAP1_N	0
ADC_N	0.447741
ADH4_N	0.876699
ADH6_N	0
ADHFE1_N	0.736427
ADIPOQ_N	0.921241
ADM2_N	1.07516
ADORA2A_N	1.27495
ADRA1A_N	0.794945
ADRA1B_N	0
ADRA2A_N	0
ADRA2B_N	1.04971
ADRA2C_N	0
ADRB2_N	0
AFAP1L1_N	0
AFP_N	0
AGAP11_N	1.41514
AGAP2_N	0
AGAP4_N	0
AGAP5_N	1.24308
AGAP6_N	1.11432
AGAP7_N	0
AGBL2_N	0
AGBL3_N	1.06086
AGER_N	0
AGFG2_N	0.423484
AGMAT_N	0
AGMO_N	0.297652
AGPAT9_N	0
AGPHD1_N	0
AGT_N	1.04012
AGXT2L1_N	0
AGXT_N	0.675431
AHNAK2_N	0.286204
AHRR_N	0.38356
AHR_N	0.928987
AICDA_N	0
AIF1_N	0
AIFM2_N	0.885081
AIFM3_N	0
AIM1L_N	0.301114
AIM1_N	0.562699
AIM2_N	1.18361
AIPL1_N	0.305681
AIRE_N	0.480387
